year,Médiane,Médiane privé,Médiane public,Chérie FM,Europe 1,France Bleu,France Culture,France Info,France Inter,France Musique,Fun Radio,MOUV,NRJ,Nostalgie,RFI,RFM,RMC,RTL,RTL 2,Radio Classique,Rire et Chansons,Skyrock,Sud Radio,Virgin Radio
2006,26.901556553562035,26.415707940595908,27.537810887599562,47.81930725989837,25.4322486717997,43.837265045054224,25.009908921201486,28.191196548932005,26.884425226267123,21.957978366713423,32.00736273723482,,22.169085680155604,28.68837449831111,31.27587693748129,26.918687880856947,18.251236819664854,25.912728000334866,31.207055875297403,,,20.045392206395015,,
2007,26.788967147942135,26.00861783436179,28.212477356907677,43.94302035045671,25.98819403652996,42.53087071010711,26.608677607496002,28.120099895033125,28.304854818782232,21.99835763046493,28.665868349418723,,20.842509905237712,26.029041632193618,31.98765769161585,26.969256688388267,17.837473822658087,24.103048284718614,38.28493128652301,,,20.13689204828235,,
2008,27.194200109877787,26.29679839844971,29.66743030548722,51.39922002110472,26.29679839844971,39.82230812961607,27.194200109877787,29.552696515501854,29.782164095472584,17.375895239630225,26.688679801245808,,23.84381167072717,28.58466229370637,31.152299036925346,27.52984881585331,17.662374308921283,23.988117434339053,43.20330209880645,,,18.698902534280542,,22.387480697002324
2009,28.819505025786412,25.85674590641931,28.925561358158376,49.95436887273718,24.83838793071237,41.65002752178754,26.558256618215754,28.819505025786412,29.031617690530343,17.938157216008218,28.96434349925046,,22.876215523126383,31.672880006482306,33.42017601031054,31.656884838361886,17.754179512733884,25.16340198107723,43.33932234832236,41.74347630235187,23.945081772126077,18.39069899698476,,25.85674590641931
2010,29.42152760986765,28.466356860414805,29.993973470770094,48.06286688394447,26.79700518053025,38.13473376507523,28.185049562973713,29.42152760986765,30.566419331672535,21.560080312900443,28.466356860414805,,27.82591050495905,30.991078195360284,32.071815994678026,31.45320696076809,17.182985154584664,26.086052011491663,43.911226990471334,46.3716120620806,27.43692756303904,18.31114610163962,,30.115225793951485
2011,28.794778409671974,28.042712181069323,30.206993209042245,47.83215331479781,28.042712181069323,37.97340246157834,29.61027366421729,28.794778409671974,33.140272270100255,24.402792134294916,28.114294352153664,,27.141962841964123,33.90542069700559,30.803712753867202,34.82297592832659,16.71187829423589,26.628004043875475,47.79583293026206,40.131429211004324,25.5693183492657,17.086314651842972,,26.630776941279393
2012,29.34799933704885,28.241974587573623,29.572952232148587,51.89108385882666,30.137980725229596,36.4496427966828,29.346335830450386,29.572952232148587,31.96567659964457,21.582666887417947,29.34799933704885,26.41302687957854,25.91099779179889,34.255108396813135,30.97245626385851,31.335199201971292,16.08334016873704,27.135949838098394,47.7599003025203,39.71212006083773,25.677300245509183,16.315819039724047,21.956261661133013,25.111303298008785
2013,29.366052358490414,29.568720396048317,29.366052358490414,54.119721666465516,32.343932012018655,35.32132791836533,29.366052358490414,29.316371389487827,31.25318742545518,28.54908529002147,27.454888854321286,27.585915391568633,27.72183252863248,39.98061695978606,32.43066970758293,34.23104908144976,17.147354292588968,28.82729651150873,46.27978046399612,39.30199677250901,27.107276659962288,16.719204555265062,25.723557197752733,30.310144280587902
2014,31.190678445554816,29.295284748904496,32.50758038805748,50.302610561492955,31.06819366431403,33.41125517972196,31.190678445554816,30.77337628415755,32.50758038805748,28.8065047088233,25.18603753227528,35.19966908822155,26.239420371121312,40.95483552534692,36.39913883391533,33.241051828545096,17.068201717335505,27.522375833494962,44.310358777016006,36.36833601875193,24.922992410929993,16.208562986752323,27.30237876051602,31.475981512125795
2015,31.12034338764448,28.902194111730097,33.84550392296675,51.22796481514281,32.081066642915346,34.78230197246604,31.12034338764448,30.217628159967596,34.48039058626382,26.74780732199707,28.036430465155338,35.46155208020755,27.28895979782732,38.12403936532441,33.84550392296675,32.392987001697946,17.667537924451263,28.92310047991458,44.71229154246779,35.72504431639081,26.313595560040003,15.502532662385333,28.881287743545613,27.82073568970922
2016,32.590165533209586,32.775067308059626,32.590165533209586,51.1705051341857,33.94685205564997,38.11098556197102,32.590165533209586,30.154921556146363,33.70817473792074,32.15934239367761,34.72051823082182,32.15796509592144,27.146358893088845,39.16218214885557,34.69744731301957,33.64233990877295,16.989229404903625,28.04277644971849,41.79833778972801,36.225667771886144,26.681387871725754,14.444457938519284,31.907794707346298,26.623009002120757
2017,34.0340717506062,33.45652229786941,34.0340717506062,53.087648830928735,36.80892490440637,39.01223452441084,35.058208610550764,29.602137950545988,32.89720348004199,35.98340748678462,35.99501203686068,26.287558878168856,26.216932006057824,39.56458197240957,34.0340717506062,35.26090746019392,16.69744096469556,29.203447380372648,43.2456506341513,34.34968716836225,27.2503635034477,15.687847041730926,32.56335742737658,24.99282731839586
2018,34.390612590538204,33.80672906493735,34.390612590538204,52.14109768273819,39.15215807188105,36.64983585580104,34.708221714908724,30.231738086433435,34.390612590538204,36.15610117001081,35.15081695140639,22.750424509879043,25.610606912497385,37.30006373071829,33.151779790071906,34.81562871892078,16.580603035192738,29.639974693526717,44.261682307854024,36.354800511484285,26.213523988005356,15.509622858657105,32.79782941095392,24.19564278911209
2019,34.34310229103097,33.54892900920649,34.34310229103097,48.675315574656416,40.379329997513004,37.21475103477449,34.789278609078,29.186492114868617,34.34310229103097,37.9528529749255,35.1746139711973,22.448060471863585,23.599100323152644,36.49080550498661,32.11019626231199,34.626478819031604,17.332148549823128,31.431721709202954,45.736669685076116,38.67254741335386,25.63334650039903,14.9102143383857,32.47137919938138,28.2381532541083
